person_id,habitual_mode,tour_id,day,tour_start_time_min,tour_end_time_min,tour_mode,main_activity_purpose,household_id,vehicle_id,num_activity,num_legs,num_subtours
15,BIKE,1,2,1768,1870,CAR_DRIVER,ACCOMPANY,6,4,2,3,0
15,BIKE,7,2,2078,2105,WALK,SHOPPING,6,-1,1,2,0
15,BIKE,8,3,3428,3455,BIKE,OTHER,6,-1,1,2,0
15,BIKE,6,4,4970,5001,WALK,SHOPPING,6,-1,1,2,0
15,BIKE,5,5,6558,6577,BIKE,ACCOMPANY,6,-1,1,2,0
15,BIKE,3,6,7677,7696,CAR_DRIVER,ACCOMPANY,6,4,1,2,0
15,BIKE,2,7,9085,9100,WALK,ACCOMPANY,6,-1,1,2,0
15,BIKE,4,7,9552,9602,WALK,ACCOMPANY,6,-1,2,3,0
16,UNKNOWN,7,1,463,654,WALK,SHOPPING,6,-1,2,3,0
16,UNKNOWN,1,1,780,799,WALK,ACCOMPANY,6,-1,1,2,0
16,UNKNOWN,2,1,870,1060,CAR_DRIVER,ACCOMPANY,6,4,2,3,0
16,UNKNOWN,3,2,2200,2344,CAR_DRIVER,ACCOMPANY,6,4,2,3,0
16,UNKNOWN,12,2,2523,2819,CAR_DRIVER,RECREATION,6,4,2,3,0
16,UNKNOWN,9,3,3514,3586,CAR_DRIVER,OTHER,6,4,1,2,0
16,UNKNOWN,4,4,4851,5021,BIKE,ACCOMPANY,6,-1,2,3,0
16,UNKNOWN,8,5,6347,6409,WALK,OTHER,6,-1,1,2,0
16,UNKNOWN,5,5,6635,6654,WALK,ACCOMPANY,6,-1,1,2,0
16,UNKNOWN,6,5,6723,6844,CAR_DRIVER,ACCOMPANY,6,4,3,4,0
16,UNKNOWN,10,6,8310,8329,WALK,OTHER,6,-1,1,2,0
16,UNKNOWN,11,7,9166,9341,CAR_DRIVER,OTHER,6,4,3,4,0
17,BIKE,1,1,470,800,WALK,EDUCATION,6,-1,1,2,0
17,BIKE,7,1,916,951,BIKE,SHOPPING,6,-1,1,2,0
17,BIKE,4,2,1909,2390,BIKE,EDUCATION,6,-1,1,2,0
17,BIKE,2,3,3310,3905,BUS,EDUCATION,6,-1,1,2,0
17,BIKE,9,3,4111,4205,WALK,RECREATION,6,-1,1,2,0
17,BIKE,3,4,4780,5127,BIKE,EDUCATION,6,-1,1,2,0
17,BIKE,12,4,5622,5636,WALK,RECREATION,6,-1,1,2,0
17,BIKE,5,5,6251,6272,CAR_DRIVER,ACCOMPANY,6,4,1,2,0
17,BIKE,10,5,6582,6714,BIKE,RECREATION,6,-1,1,2,0
17,BIKE,8,6,7686,7727,BIKE,SHOPPING,6,-1,1,2,0
17,BIKE,6,6,7992,8007,WALK,ACCOMPANY,6,-1,1,2,0
17,BIKE,11,7,9207,9333,WALK,RECREATION,6,-1,1,2,0
18,PT,5,1,448,992,WALK,EDUCATION,6,-1,1,2,0
18,PT,1,2,1894,2288,BUS,EDUCATION,6,-1,1,2,0
18,PT,6,2,2336,2357,WALK,ACCOMPANY,6,-1,1,2,0
18,PT,4,3,3344,3650,BUS,EDUCATION,6,-1,1,2,0
18,PT,3,4,5010,5460,BUS,EDUCATION,6,-1,1,2,0
18,PT,9,4,5592,5712,WALK,RECREATION,6,-1,1,2,0
18,PT,2,5,6313,6452,BUS,EDUCATION,6,-1,1,2,0
18,PT,7,5,6633,6662,WALK,SHOPPING,6,-1,1,2,0
18,PT,8,5,6677,6713,WALK,OTHER,6,-1,1,2,0
19,UNKNOWN,6,1,560,694,BIKE,RECREATION,6,-1,1,2,0
19,UNKNOWN,5,1,1092,1224,WALK,RECREATION,6,-1,1,2,0
19,UNKNOWN,4,2,2449,2573,CAR_PASSENGER,RECREATION,6,-1,1,2,0
19,UNKNOWN,1,3,3744,3804,WALK,RECREATION,6,-1,1,2,0
19,UNKNOWN,3,5,6653,6878,BIKE,RECREATION,6,-1,2,3,0
19,UNKNOWN,2,7,9136,9228,WALK,RECREATION,6,-1,1,2,0
52,UNKNOWN,10,1,874,998,WALK,RECREATION,17,-1,1,2,0
52,UNKNOWN,11,1,1023,1059,WALK,RECREATION,17,-1,1,2,0
52,UNKNOWN,1,2,1985,2072,CAR_DRIVER,SHOPPING,17,17,2,3,0
52,UNKNOWN,2,2,2466,2501,CAR_DRIVER,SHOPPING,17,17,1,2,0
52,UNKNOWN,14,3,3267,3401,CAR_DRIVER,RECREATION,17,17,1,2,0
52,UNKNOWN,3,3,3480,3525,CAR_DRIVER,SHOPPING,17,17,1,2,0
52,UNKNOWN,4,3,3780,3817,CAR_DRIVER,SHOPPING,17,17,1,2,0
52,UNKNOWN,13,3,3912,4034,WALK,RECREATION,17,-1,1,2,0
52,UNKNOWN,16,4,5118,5260,CAR_DRIVER,RECREATION,17,18,1,2,0
52,UNKNOWN,9,4,5410,5463,CAR_DRIVER,RECREATION,17,17,1,2,0
52,UNKNOWN,5,5,6914,6947,CAR_DRIVER,SHOPPING,17,17,1,2,0
52,UNKNOWN,17,6,7870,7994,WALK,RECREATION,17,-1,1,2,0
52,UNKNOWN,7,6,8002,8084,CAR_DRIVER,OTHER,17,17,1,2,0
52,UNKNOWN,15,6,8144,8276,CAR_PASSENGER,RECREATION,17,-1,1,2,0
52,UNKNOWN,12,7,8797,8925,CAR_DRIVER,RECREATION,17,17,1,2,0
52,UNKNOWN,6,7,9320,9384,WALK,OTHER,17,-1,1,2,0
52,UNKNOWN,8,7,9496,9542,CAR_DRIVER,OTHER,17,17,1,2,0
53,CAR_DRIVER,8,1,1172,1306,CAR_DRIVER,RECREATION,17,17,1,2,0
53,CAR_DRIVER,3,2,2197,2274,CAR_DRIVER,WORK,17,17,1,2,0
53,CAR_DRIVER,6,2,2507,2566,CAR_DRIVER,RECREATION,17,18,1,2,0
53,CAR_DRIVER,1,3,3636,3715,WALK,WORK,17,-1,1,2,0
53,CAR_DRIVER,4,3,3762,3793,CAR_DRIVER,SHOPPING,17,18,1,2,0
53,CAR_DRIVER,2,4,5072,5159,CAR_DRIVER,WORK,17,17,1,2,0
53,CAR_DRIVER,9,4,5340,5380,CAR_DRIVER,RECREATION,17,17,1,2,0
53,CAR_DRIVER,7,5,6735,6921,CAR_DRIVER,RECREATION,17,18,2,3,0
53,CAR_DRIVER,5,6,7697,7813,CAR_DRIVER,SHOPPING,17,17,2,3,0
